symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
SLB,ARCA,largecap,USD,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1994-01-03,2020-05-11
SLG,ARCA,largecap,USD,SL Green Realty,Real Estate,Office REITs,1997-08-15,2020-05-11
SNA,ARCA,largecap,USD,Snap-on,Industrials,Industrial Machinery,1994-01-03,2020-05-11
SNPS,ARCA,largecap,USD,Synopsys Inc.,Information Technology,Application Software,1994-01-03,2020-05-11
SO,ARCA,largecap,USD,Southern Co.,Utilities,Electric Utilities,1994-01-03,2020-05-11
SPG,ARCA,largecap,USD,Simon Property Group Inc,Real Estate,Retail REITs,1994-01-03,2020-05-08
SPGI,ARCA,largecap,USD,"S&P Global, Inc.",Financials,Financial Exchanges & Data,1994-01-03,2020-05-11
SRE,ARCA,largecap,USD,Sempra Energy,Utilities,Multi-Utilities,1998-06-29,2020-05-11
STE,ARCA,largecap,USD,STERIS plc,Health Care,Health Care Equipment,1994-01-03,2020-05-11
STT,ARCA,largecap,USD,State Street Corp.,Financials,Asset Management & Custody Banks,1994-01-03,2020-05-11
STX,ARCA,largecap,USD,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2002-12-11,2020-05-11
STZ,ARCA,largecap,USD,Constellation Brands,Consumer Staples,Distillers & Vintners,1994-01-03,2020-05-11
SWK,ARCA,largecap,USD,Stanley Black & Decker,Industrials,Industrial Machinery,1994-01-03,2020-05-11
SWKS,ARCA,largecap,USD,Skyworks Solutions,Information Technology,Semiconductors,1994-01-03,2020-05-11
SYF,ARCA,largecap,USD,Synchrony Financial,Financials,Consumer Finance,2014-07-31,2020-05-08
SYK,ARCA,largecap,USD,Stryker Corp.,Health Care,Health Care Equipment,1994-01-03,2020-05-11
SYY,ARCA,largecap,USD,Sysco Corp.,Consumer Staples,Food Distributors,1994-01-03,2020-05-11
T,ARCA,largecap,USD,AT&T Inc.,Information Technology,Integrated Telecommunication Services,1994-01-03,2020-05-11
TAP,ARCA,largecap,USD,Molson Coors Brewing Company,Consumer Staples,Brewers,1994-01-03,2020-05-11
TDG,ARCA,largecap,USD,TransDigm Group,Industrials,Aerospace & Defense,2006-03-15,2020-05-08
TEL,ARCA,largecap,USD,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,2007-06-14,2020-05-11
TFC,ARCA,largecap,USD,Truist Financial,Financials,Regional Banks,1994-01-03,2020-05-11
TFX,ARCA,largecap,USD,Teleflex,Health Care,Health Care Equipment,1994-01-03,2020-05-11
TGT,ARCA,largecap,USD,Target Corp.,Consumer Discretionary,General Merchandise Stores,1994-01-03,2020-05-11
TIF,ARCA,largecap,USD,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1994-01-03,2020-05-11
TJX,ARCA,largecap,USD,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1994-01-03,2020-05-11
TMO,ARCA,largecap,USD,Thermo Fisher Scientific,Health Care,Health Care Equipment,1994-01-03,2020-05-11
TMUS,ARCA,largecap,USD,T-Mobile US,Information Technology,Wireless Telecommunication Services,2007-04-19,2020-05-11
TPR,ARCA,largecap,USD,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2000-10-06,2020-05-11
TRIP,ARCA,largecap,USD,TripAdvisor,Information Technology,Interactive Media & Services,2011-12-07,2020-05-11
TROW,ARCA,largecap,USD,T. Rowe Price Group,Financials,Asset Management & Custody Banks,1994-01-03,2020-05-11
TRV,ARCA,largecap,USD,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,1994-01-03,2020-05-11
TSCO,ARCA,largecap,USD,Tractor Supply Company,Consumer Discretionary,Specialty Stores,1994-02-17,2020-05-11
TSLA,ARCA,largecap,USD,Tesla Inc,Consumer Discretionary,Automobile,2010-06-29,2020-05-11
TSN,ARCA,largecap,USD,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1994-01-03,2020-05-11
TT,ARCA,largecap,USD,Trane Technologies plc,Industrials,Building Products,1998-06-03,2020-05-11
TTWO,ARCA,largecap,USD,Take-Two Interactive,Information Technology,Interactive Home Entertainment,1997-04-15,2020-05-11
TWTR,ARCA,largecap,USD,"Twitter, Inc.",Information Technology,Interactive Media & Services,2013-11-07,2020-05-11
TXN,ARCA,largecap,USD,Texas Instruments,Information Technology,Semiconductors,1994-01-03,2020-05-11
TXT,ARCA,largecap,USD,Textron Inc.,Industrials,Aerospace & Defense,1994-01-03,2020-05-08
UA,ARCA,largecap,USD,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2015-07-01,2020-05-11
UAA,ARCA,largecap,USD,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2005-11-18,2020-05-11
UAL,ARCA,largecap,USD,United Airlines Holdings,Industrials,Airlines,2006-02-06,2020-05-11
